id,label
0,8
1,3
2,13
3,13
4,0
5,2
6,8
7,8
8,13
9,7
10,5
11,13
12,13
13,7
14,11
15,5
16,13
17,5
18,2
19,0
20,0
21,13
22,8
23,2
24,4
25,0
26,3
27,2
28,6
29,5
30,2
31,13
32,3
33,13
34,8
35,2
36,2
37,7
38,8
39,13
40,13
41,5
42,0
43,2
44,8
45,13
46,13
47,2
48,13
49,13
50,3
51,14
52,5
53,0
54,14
55,0
56,8
57,13
58,3
59,13
60,3
61,8
62,8
63,1
64,4
65,8
66,0
67,5
68,13
69,8
70,0
71,0
72,2
73,5
74,0
75,8
76,13
77,13
78,3
79,2
80,8
81,0
82,8
83,8
84,11
85,0
86,0
87,9
88,5
89,0
90,3
91,8
92,8
93,0
94,13
95,13
96,2
97,13
98,1
99,8
100,1
101,0
102,13
103,3
104,8
105,4
106,13
107,0
108,13
109,5
110,3
111,8
112,2
113,0
114,0
115,2
116,0
117,3
118,6
119,13
120,2
121,8
122,13
123,3
124,8
125,5
126,2
127,3
128,5
129,0
130,2
131,13
132,13
133,7
134,13
135,5
136,1
137,2
138,5
139,0
140,2
141,3
142,13
143,5
144,2
145,2
146,0
147,2
148,5
149,5
150,8
151,0
152,0
153,2
154,13
155,8
156,3
157,2
158,9
159,2
160,3
161,5
162,13
163,3
164,8
165,13
166,3
167,9
168,2
169,2
170,8
171,0
172,2
173,7
174,2
175,12
176,3
177,2
178,7
179,13
180,5
181,2
182,3
183,0
184,13
185,13
186,8
187,5
188,5
189,0
190,2
191,5
192,13
193,3
194,8
195,13
196,8
197,2
198,14
199,2
200,3
201,8
202,13
203,5
204,13
205,8
206,8
207,3
208,3
209,2
210,8
211,12
212,0
213,5
214,13
215,0
216,6
217,3
218,2
219,2
220,2
221,2
222,13
223,7
224,0
225,2
226,5
227,9
228,3
229,2
230,3
231,3
232,5
233,0
234,5
235,11
236,8
237,7
238,14
239,11
240,2
241,3
242,0
243,0
244,7
245,2
246,1
247,8
248,8
249,5
250,2
251,3
252,12
253,13
254,8
255,2
256,2
257,8
258,3
259,2
260,2
261,14
262,5
263,0
264,13
265,0
266,2
267,2
268,13
269,2
270,7
271,3
272,0
273,2
274,8
275,8
276,8
277,0
278,5
279,8
280,8
281,13
282,8
283,2
284,8
285,0
286,3
287,8
288,0
289,13
290,2
291,13
292,0
293,5
294,14
295,0
296,13
297,5
298,0
299,3
300,3
301,13
302,2
303,6
304,5
305,3
306,3
307,2
308,13
309,13
310,8
311,13
312,8
313,14
314,0
315,8
316,3
317,2
318,2
319,3
320,3
321,5
322,3
323,8
324,13
325,8
326,8
327,2
328,3
329,5
330,13
331,6
332,0
333,0
334,13
335,2
336,5
337,3
338,2
339,0
340,5
341,13
342,13
343,0
344,0
345,3
346,2
347,0
348,5
349,2
350,8
351,6
352,8
353,3
354,5
355,8
356,0
357,2
358,13
359,3
360,2
361,0
362,8
363,3
364,2
365,8
366,3
367,8
368,4
369,0
370,2
371,8
372,0
373,3
374,2
375,2
376,5
377,3
378,0
379,1
380,3
381,8
382,3
383,2
384,0
385,0
386,13
387,3
388,0
389,7
390,5
391,2
392,13
393,13
394,0
395,5
396,0
397,13
398,14
399,2
400,8
401,14
402,3
403,3
404,3
405,3
406,13
407,3
408,7
409,0
410,0
411,7
412,8
413,14
414,8
415,6
416,5
417,13
418,3
419,7
420,7
421,8
422,2
423,13
424,7
425,7
426,5
427,4
428,0
429,12
430,3
431,0
432,8
433,8
434,8
435,2
436,8
437,3
438,3
439,3
440,5
441,13
442,2
443,5
444,3
445,5
446,13
447,8
448,3
449,3
450,13
451,14
452,0
453,2
454,13
455,0
456,5
457,3
458,4
459,0
460,3
461,0
462,8
463,0
464,5
465,0
466,0
467,8
468,13
469,5
470,0
471,8
472,0
473,13
474,0
475,5
476,13
477,8
478,0
479,13
480,5
481,5
482,0
483,8
484,3
485,13
486,8
487,7
488,5
489,1
490,13
491,8
492,0
493,3
494,5
495,13
496,3
497,5
498,8
499,8
500,4
501,0
502,4
503,13
504,2
505,0
506,8
507,5
508,8
509,8
510,8
511,13
512,3
513,3
514,3
515,2
516,2
517,0
518,0
519,5
520,8
521,13
522,8
523,9
524,5
525,0
526,13
527,3
528,2
529,3
530,2
531,13
532,3
533,3
534,8
535,3
536,0
537,5
538,3
539,2
540,13
541,8
542,3
543,3
544,5
545,5
546,3
547,14
548,3
549,0
550,5
551,13
552,5
553,8
554,8
555,3
556,13
557,3
558,0
559,13
560,3
561,3
562,7
563,13
564,13
565,3
566,0
567,0
568,2
569,13
570,3
571,2
572,14
573,13
574,8
575,5
576,8
577,8
578,8
579,7
580,13
581,2
582,8
583,14
584,8
585,5
586,3
587,8
588,5
589,13
590,13
591,2
592,4
593,2
594,8
595,4
596,8
597,2
598,14
599,4
600,3
601,8
602,13
603,2
604,0
605,5
606,13
607,3
608,3
609,9
610,3
611,8
612,8
613,8
614,13
615,2
616,2
617,0
618,0
619,13
620,5
621,2
622,2
623,13
624,5
625,0
626,2
627,3
628,2
629,5
630,8
631,0
632,1
633,5
634,2
635,0
636,13
637,2
638,2
639,9
640,8
641,2
642,3
643,5
644,3
645,13
646,8
647,5
648,5
649,5
650,8
651,8
652,3
653,3
654,8
655,3
656,3
657,13
658,8
659,8
660,0
661,0
662,3
663,8
664,5
665,5
666,0
667,6
668,2
669,8
670,2
671,13
672,3
673,0
674,5
675,13
676,7
677,3
678,1
679,2
680,2
681,2
682,13
683,3
684,2
685,0
686,0
687,2
688,14
689,5
690,8
691,0
692,7
693,2
694,13
695,5
696,2
697,2
698,7
699,2
700,0
701,0
702,8
703,8
704,13
705,4
706,3
707,5
708,13
709,0
710,0
711,3
712,6
713,2
714,2
715,8
716,5
717,0
718,0
719,14
720,13
721,6
722,5
723,5
724,5
725,8
726,5
727,0
728,5
729,8
730,13
731,2
732,8
733,0
734,5
735,8
736,2
737,2
738,8
739,12
740,6
741,3
742,8
743,13
744,3
745,7
746,2
747,5
748,13
749,0
750,7
751,5
752,4
753,8
754,8
755,0
756,3
757,13
758,3
759,2
760,2
761,0
762,9
763,5
764,5
765,2
766,3
767,13
768,0
769,1
770,5
771,13
772,3
773,2
774,5
775,13
776,6
777,5
778,12
779,7
780,2
781,9
782,3
783,7
784,8
785,0
786,2
787,0
788,3
789,13
790,5
791,3
792,5
793,7
794,13
795,5
796,12
797,0
798,2
799,13
800,0
801,4
802,3
803,0
804,13
805,3
806,2
807,0
808,3
809,5
810,3
811,13
812,13
813,8
814,14
815,0
816,3
817,0
818,3
819,13
820,2
821,0
822,13
823,0
824,5
825,8
826,13
827,5
828,13
829,8
830,0
831,0
832,5
833,8
834,0
835,8
836,2
837,8
838,2
839,2
840,3
841,13
842,8
843,8
844,13
845,0
846,5
847,0
848,13
849,0
850,8
851,2
852,8
853,14
854,8
855,8
856,9
857,2
858,5
859,2
860,13
861,3
862,8
863,0
864,13
865,0
866,0
867,3
868,13
869,2
870,2
871,7
872,13
873,0
874,8
875,0
876,8
877,8
878,7
879,13
880,0
881,3
882,13
883,3
884,5
885,5
886,5
887,8
888,5
889,2
890,13
891,3
892,0
893,3
894,2
895,0
896,4
897,8
898,0
899,8
900,0
901,4
902,8
903,13
904,3
905,0
906,2
907,3
908,8
909,0
910,7
911,13
912,8
913,5
914,3
915,2
916,3
917,3
918,3
919,5
920,2
921,13
922,3
923,8
924,2
925,2
926,3
927,3
928,5
929,2
930,2
931,0
932,5
933,0
934,8
935,13
936,2
937,8
938,0
939,13
940,8
941,1
942,0
943,3
944,5
945,0
946,13
947,5
948,8
949,2
950,5
951,13
952,1
953,13
954,8
955,0
956,14
957,0
958,3
959,8
960,0
961,5
962,12
963,13
964,13
965,13
966,5
967,3
968,0
969,0
970,5
971,13
972,8
973,10
974,3
975,5
976,8
977,2
978,14
979,2
980,0
981,3
982,13
983,3
984,8
985,0
986,2
987,5
988,8
989,5
990,8
991,0
992,8
993,13
994,13
995,2
996,13
997,8
998,0
999,3
1000,3
1001,13
1002,2
1003,5
1004,13
1005,0
1006,3
1007,13
1008,5
