id,label
0,16
1,13
2,0
3,2
4,10
5,5
6,16
7,4
8,5
9,16
10,1
11,0
12,3
13,15
14,13
15,2
16,4
17,14
18,2
19,16
20,5
21,16
22,3
23,7
24,22
25,5
26,1
27,3
28,17
29,11
30,16
31,9
32,17
33,7
34,5
35,5
36,4
37,16
38,7
39,17
40,1
41,0
42,17
43,15
44,17
45,3
46,3
47,16
48,5
49,2
50,16
51,16
52,15
53,17
54,0
55,13
56,4
57,0
58,1
59,0
60,17
61,1
62,18
63,0
64,3
65,10
66,15
67,21
68,7
69,13
70,0
71,8
72,17
73,5
74,0
75,10
76,0
77,13
78,5
79,2
80,15
81,15
82,0
83,0
84,17
85,22
86,2
87,2
88,4
89,13
90,5
91,5
92,7
93,3
94,15
95,13
96,13
97,1
98,4
99,2
100,5
101,16
102,5
103,15
104,5
105,5
106,1
107,10
108,7
109,7
110,1
111,3
112,7
113,3
114,2
115,0
116,1
117,5
118,10
119,16
120,5
121,16
122,17
123,1
124,10
125,13
126,2
127,13
128,16
129,17
130,17
131,4
132,13
133,1
134,4
135,13
136,16
137,17
138,2
139,21
140,17
141,20
142,17
143,14
144,13
145,2
146,16
147,21
148,13
149,3
150,16
151,4
152,7
153,5
154,0
155,16
156,13
157,2
158,3
159,3
160,15
161,1
162,13
163,22
164,0
165,7
166,4
167,3
168,2
169,5
170,5
171,10
172,0
173,1
174,13
175,15
176,2
177,3
178,0
179,17
180,16
181,2
182,2
183,16
184,4
185,16
186,17
187,0
188,8
189,3
190,8
191,4
192,9
193,7
194,3
195,10
196,4
197,16
198,0
199,2
200,14
201,2
202,0
203,17
204,3
205,5
206,5
207,13
208,15
209,16
210,1
211,5
212,17
213,19
214,2
215,21
216,1
217,1
218,0
219,3
220,5
221,9
222,2
223,10
224,1
225,2
226,17
227,14
228,17
229,4
230,2
231,4
232,10
233,17
234,17
235,10
236,0
237,3
238,7
239,12
240,2
241,1
242,17
243,2
244,1
245,0
246,1
247,4
248,5
249,17
250,1
251,7
252,22
253,17
254,9
255,15
256,16
257,7
258,7
259,10
260,17
261,2
262,1
263,4
264,14
265,1
266,9
267,12
268,18
269,7
